FREQ, UX_2, , UX_3, , UX_4,,,,
, REAL, IMAGINARY, REAL, IMAGINARY, REAL, IMAGINARY,,,
4.50E-02,-12.0846844,-1.20E-08,-12.1188845,4.58E-09,-12.0932314,-7.82E-09,-7.82E-09,0.99717795,0.999293241
4.60E-02,-11.5639154,-1.22E-08,-11.598116,4.68E-09,-11.5724624,-8.00E-09,-8.00E-09,0.997051193,0.999261436
4.70E-02,-11.0760321,-1.25E-08,-11.1102333,4.78E-09,-11.0845791,-8.17E-09,-8.17E-09,0.996921649,0.999228929
4.80E-02,-10.6183227,-1.28E-08,-10.6525244,4.89E-09,-10.6268697,-8.35E-09,-8.35E-09,0.996789334,0.999195718
4.90E-02,-10.1883493,-1.30E-08,-10.2225516,4.99E-09,-10.1968963,-8.52E-09,-8.52E-09,0.996654231,0.999161804
5.00E-02,-9.78391543,-1.33E-08,-9.81811837,5.09E-09,-9.79246243,-8.70E-09,-8.70E-09,0.996516345,0.999127186
5.10E-02,-9.40303775,-1.36E-08,-9.43724129,5.19E-09,-9.41158475,-8.87E-09,-8.87E-09,0.996375684,0.999091864
5.20E-02,-9.04392177,-1.38E-08,-9.07812593,5.29E-09,-9.05246878,-9.04E-09,-9.04E-09,0.996232244,0.999055837
5.30E-02,-8.7049407,-1.41E-08,-8.73914548,5.40E-09,-8.71348771,-9.22E-09,-9.22E-09,0.996086027,0.999019106
5.40E-02,-8.38461696,-1.43E-08,-8.41882238,5.50E-09,-8.39316397,-9.39E-09,-9.39E-09,0.99593703,0.99898167
5.50E-02,-8.08160607,-1.46E-08,-8.11581214,5.60E-09,-8.09015308,-9.57E-09,-9.57E-09,0.995785256,0.998943529
5.60E-02,-7.7946825,-1.49E-08,-7.82888923,5.70E-09,-7.80322951,-9.74E-09,-9.74E-09,0.995630705,0.998904683
5.70E-02,-7.52272728,-1.51E-08,-7.55693469,5.81E-09,-7.53127429,-9.92E-09,-9.92E-09,0.995473375,0.998865131
5.80E-02,-7.26471707,-1.54E-08,-7.29892516,5.91E-09,-7.27326408,-1.01E-08,-1.01E-08,0.99531327,0.998824873
5.90E-02,-7.01971449,-1.57E-08,-7.05392328,6.01E-09,-7.0282615,-1.03E-08,-1.03E-08,0.995150388,0.998783908
6.00E-02,-6.78685964,-1.59E-08,-6.82106914,6.11E-09,-6.79540665,-1.04E-08,-1.04E-08,0.994984731,0.998742237
6.10E-02,-6.56536251,-1.62E-08,-6.59957274,6.22E-09,-6.57390952,-1.06E-08,-1.06E-08,0.994816296,0.998699859
6.20E-02,-6.35449629,-1.65E-08,-6.38870725,6.32E-09,-6.3630433,-1.08E-08,-1.08E-08,0.994645089,0.998656773
6.30E-02,-6.15359139,-1.67E-08,-6.18780309,6.42E-09,-6.1621384,-1.10E-08,-1.10E-08,0.994471107,0.99861298
6.40E-02,-5.96203011,-1.70E-08,-5.99624257,6.52E-09,-5.97057712,-1.11E-08,-1.11E-08,0.99429435,0.998568478
6.50E-02,-5.7792419,-1.73E-08,-5.81345514,6.62E-09,-5.78778891,-1.13E-08,-1.13E-08,0.994114818,0.998523269
6.60E-02,-5.60469912,-1.75E-08,-5.63891314,6.73E-09,-5.61324613,-1.15E-08,-1.15E-08,0.993932515,0.99847735
6.70E-02,-5.43791319,-1.78E-08,-5.472128,6.83E-09,-5.4464602,-1.17E-08,-1.17E-08,0.99374744,0.998430722
6.80E-02,-5.2784312,-1.81E-08,-5.31264682,6.93E-09,-5.28697821,-1.18E-08,-1.18E-08,0.993559591,0.998383385
6.90E-02,-5.12583281,-1.83E-08,-5.16004925,7.03E-09,-5.13437982,-1.20E-08,-1.20E-08,0.99336897,0.998335337
7.00E-02,-4.97972751,-1.86E-08,-5.01394477,7.14E-09,-4.98827451,-1.22E-08,-1.22E-08,0.993175581,0.998286582
7.10E-02,-4.83975206,-1.89E-08,-4.87397017,7.24E-09,-4.84829907,-1.24E-08,-1.24E-08,0.992979417,0.998237112
7.20E-02,-4.7055683,-1.91E-08,-4.73978726,7.34E-09,-4.7141153,-1.25E-08,-1.25E-08,0.992780486,0.998186934
7.30E-02,-4.57686105,-1.94E-08,-4.61108088,7.44E-09,-4.58540806,-1.27E-08,-1.27E-08,0.992578783,0.998136042
7.40E-02,-4.45333631,-1.97E-08,-4.48755702,7.55E-09,-4.46188332,-1.29E-08,-1.29E-08,0.992374312,0.998084439
7.50E-02,-4.33471952,-1.99E-08,-4.36894111,7.65E-09,-4.34326652,-1.31E-08,-1.31E-08,0.992167075,0.998032126
7.60E-02,-4.22075407,-2.02E-08,-4.25497657,7.75E-09,-4.22930107,-1.32E-08,-1.32E-08,0.991957065,0.997979099
