  1.150   0.850       81534.442 
  1.200   0.850       77880.207 
  1.250   0.850       75016.076 
  1.300   0.850       72810.367 
  1.350   0.850       71109.446 
  1.400   0.850       69858.447 
  1.450   0.850       68980.552 
  1.500   0.850       68398.947 
  1.550   0.850       68069.737 
  1.600   0.850       67949.027 
  1.650   0.850       68003.895 
  1.700   0.850       68201.421 
  1.750   0.850       68508.684 
  1.800   0.850       68903.737 
  1.850   0.850       69397.552 
  1.900   0.850       69935.263 
  1.950   0.850       70571.736 
  2.000   0.850       71317.946 
  2.050   0.850       71866.630 
  2.100   0.850       72536.025 
  2.150   0.850       73644.366 
  2.200   0.850       74335.708 
  2.250   0.850       75038.024 
  2.300   0.850       75740.339 
  2.350   0.850       76442.655 
  2.400   0.850       77144.970 
  2.450   0.850       77144.970 
  2.500   0.850       77144.970 
  2.550   0.850       77144.970 
  2.600   0.850       77144.970 
  2.650   0.850       77144.970 
  2.700   0.850       77144.970 
  2.750   0.850       77144.970 
  2.800   0.850       77144.970 
  2.850   0.850       77144.970 
  2.900   0.850       77144.970 
  2.950   0.850       77144.970 
  3.000   0.850       77144.970 

  0.250   0.900      290275.783 
  0.300   0.900      290275.783 
  0.350   0.900      290275.783 
  0.400   0.900      290275.783 
  0.450   0.900      290275.783 
  0.500   0.900      281101.787 
  0.550   0.900      271927.790 
  0.600   0.900      247390.642 
  0.650   0.900      218727.390 
  0.700   0.900      191666.295 
  0.750   0.900      169609.198 
  0.800   0.900      150361.363 
  0.850   0.900      133461.896 
  0.900   0.900      119218.060 
  0.950   0.900      107937.116 
  1.000   0.900       98850.909 
  1.050   0.900       91564.386 
  1.100   0.900       85748.336 
  1.150   0.900       81117.443 
  1.200   0.900       77430.286 
  1.250   0.900       74555.182 
  1.300   0.900       72338.499 
  1.350   0.900       70626.604 
  1.400   0.900       69375.605 
  1.450   0.900       68497.711 
  1.500   0.900       67927.079 
  1.550   0.900       67597.869 
  1.600   0.900       67466.185 
  1.650   0.900       67532.027 
  1.700   0.900       67729.553 
  1.750   0.900       68036.816 
  1.800   0.900       68431.868 
  1.850   0.900       68936.658 
  1.900   0.900       69463.394 
  1.950   0.900       70143.763 
  2.000   0.900       71021.657 
  2.050   0.900       71570.341 
  2.100   0.900       72119.025 
  2.150   0.900       73227.367 
  2.200   0.900       74335.708 
  2.250   0.900       75038.024 
  2.300   0.900       75740.339 
  2.350   0.900       76442.655 
  2.400   0.900       77144.970 
  2.450   0.900       77144.970 
  2.500   0.900       77144.970 
  2.550   0.900       77144.970 
  2.600   0.900       77144.970 
  2.650   0.900       77144.970 
  2.700   0.900       77144.970 
  2.750   0.900       77144.970 
  2.800   0.900       77144.970 
  2.850   0.900       77144.970 
  2.900   0.900       77144.970 
  2.950   0.900       77144.970 
  3.000   0.900       77144.970 

  0.250   0.950      290275.783 
  0.300   0.950      290275.783 
  0.350   0.950      290275.783 
  0.400   0.950      290275.783 
  0.450   0.950      290275.783 
  0.500   0.950      281101.787 
  0.550   0.950      271653.448 
  0.600   0.950      246446.905 
  0.650   0.950      216894.785 
  0.700   0.950      189010.664 
  0.750   0.950      166459.752 
  0.800   0.950      147069.259 
  0.850   0.950      130290.503 
  0.900   0.950      116277.113 
  0.950   0.950      105160.775 
  1.000   0.950       96239.174 
  1.050   0.950       89106.282 
  1.100   0.950       83421.915 
  1.150   0.950       78911.733 
  1.200   0.950       75345.287 
  1.250   0.950       72557.972 
  1.300   0.950       70429.078 
  1.350   0.950       68804.974 
  1.400   0.950       67619.816 
  1.450   0.950       66796.790 
  1.500   0.950       66281.027 
  1.550   0.950       65995.712 
  1.600   0.950       65918.896 
  1.650   0.950       66006.685 
  1.700   0.950       66248.106 
  1.750   0.950       66588.290 
  1.800   0.950       67016.264 
  1.850   0.950       67532.027 
  1.900   0.950       68091.684 
  1.950   0.950       68783.026 
  2.000   0.950       69671.894 
  2.050   0.950       70253.499 
  2.100   0.950       70802.183 
  2.150   0.950       71910.525 
  2.200   0.950       74335.708 
  2.250   0.950       75038.024 
  2.300   0.950       75740.339 
  2.350   0.950       76442.655 
  2.400   0.950       77144.970 
  2.450   0.950       77144.970 
  2.500   0.950       77144.970 
  2.550   0.950       77144.970 
  2.600   0.950       77144.970 
  2.650   0.950       77144.970 
  2.700   0.950       77144.970 
  2.750   0.950       77144.970 
  2.800   0.950       77144.970 
  2.850   0.950       77144.970 
  2.900   0.950       77144.970 
  2.950   0.950       77144.970 
  3.000   0.950       77144.970 

  0.250   1.000      290275.783 
  0.300   1.000      290275.783 
  0.350   1.000      290275.783 
  0.400   1.000      290275.783 
  0.450   1.000      290275.783 
  0.500   1.000      280827.445 
  0.550   1.000      271379.106 
  0.600   1.000      245503.169 
  0.650   1.000      215062.181 
  0.700   1.000      186355.034 
  0.750   1.000      163310.306 
  0.800   1.000      143777.155 
  0.850   1.000      127119.109 
  0.900   1.000      113336.167 
  0.950   1.000      102384.434 
  1.000   1.000       93627.438 
  1.050   1.000       86648.177 
  1.100   1.000       81095.495 
  1.150   1.000       76706.023 
  1.200   1.000       73260.288 
  1.250   1.000       70560.762 
  1.300   1.000       68519.658 
  1.350   1.000       66983.343 
  1.400   1.000       65864.027 
  1.450   1.000       65095.870 
  1.500   1.000       64634.975 
  1.550   1.000       64393.554 
  1.600   1.000       64371.607 
  1.650   1.000       64481.344 
  1.700   1.000       64766.659 
  1.750   1.000       65139.764 
  1.800   1.000       65600.659 
  1.850   1.000       66127.396 
  1.900   1.000       66719.974 
  1.950   1.000       67422.290 
  2.000   1.000       68322.132 
  2.050   1.000       68903.737 
  2.100   1.000       69485.342 
  2.150   1.000       71910.525 
  2.200   1.000       74335.708 
  2.250   1.000       75038.024 
  2.300   1.000       75740.339 
  2.350   1.000       76442.655 
  2.400   1.000       77144.970 
  2.450   1.000       77144.970 
