% Copyright (C) 2004-2007 Burkhard Schmidt's group
%
% This file is under public domain. You may modify or incorporate it into other
% works without any restrictions.

0.2	 35.27                
0.4	 12.9766              
0.6	  4.75416              
0.8	  1.76058              
1.0	  0.661566             
1.2	  0.242416             
1.4	  0.0737262            
1.6	  0.0051962            
1.8	 -0.0181938           
2.0	 -0.0193738           
2.2      -0.0098038           
2.4	  0.0040462            
2.6	  0.0184662            
2.8	  0.0315062            
3.0	  0.0423662            
3.2	  0.0509162            
3.4	  0.0573562            
3.6	  0.0620562            
3.8	  0.0653862            
4.0	  0.0677062            
4.2	  0.0692762            
4.4	  0.0703362            
4.6	  0.0710362            
4.8	  0.0714962            
5.0	  0.0717862            
5.2	  0.0719762            
5.4	  0.0720962            
5.6	  0.0721662            
5.8	  0.0722162            
6.0	  0.0722462            
6.2	  0.0722662            
6.4	  0.0722762            
6.6	  0.0722862            
6.8	  0.0722862            
7.0	  0.0722862            
7.2	  0.0722862            
7.4	  0.0722862            
7.6	  0.0722962            
7.8	  0.0722962            
8.0	  0.0722962            
